"city","environmental_factor","economic_factor"
"Arlington",-0.417685892660294,0.894296598510083
"Averara",-0.571489931515965,0.399046476844669
"Bagnolo.San.Vito",-0.386342673213302,0.682620540154023
"Balones",-1.20793316019803,1.38782149693614
"Beniardà",-1.17498010474276,1.27792116538437
"Birmingham",-0.506723971815758,1.12426863165502
"Bracca",-0.587806413728985,0.382651708873446
"Brugge",-0.531556775206912,1.44400214884453
"Burlington",-0.833141944561208,1.2055805766982
"Carona",-0.58783368717576,0.522508416586508
"Charlotte",-0.415494900085107,0.653576665876653
"Dossena",-0.562277541255715,0.575577505197408
"Dénia",-1.00992898328782,1.41708405255795
"Essen",-0.341168827484623,0.656626765936175
"Fermo",-0.43008797027554,0.407104650608966
"Fontanafredda",-1.64279855709243,1.93214135692474
"Frankenthal",-0.650719737389984,1.34481723314705
"Gorga",-1.26955915495158,1.38459365846434
"Gothenburg",-0.377989463694761,1.25349420989903
"Haarlem",-0.695522000253826,0.906002406720508
"Hannover",-0.72350976253759,0.452774758666069
"Heidelberg",-0.858418654808031,0.122686491289166
"Isola.D.Elba",-0.306280389342016,0.870614933374042
"Isola.di.Fondra",-0.529188511215142,0.485355059935367
"Jaszbereny.Varosi.Onkormanyzat",-0.585523075820615,0.160911051031222
"Jurmala",-0.704819766589866,0.501932209777527
"Kortenaken",-0.727123447518751,0.500947566497524
"Krško",-1.038693887689,0.438424016594068
"Leuven",-0.407325063418252,0.496740233256813
"Lexington",-1.14355544099483,0.710340301199424
"London",-0.578591289355337,1.33119552589782
"Luleå",-0.724908612966803,0.344453685576132
"Lörrach",-0.554445138739242,0.911232755627542
"Macerata",-0.49056535781498,0.360551029155033
"Maltepe",-0.471730000128564,0.847351828780966
"Mantova",-0.557879992839842,0.990597774832505
"Mezzoldo",-0.59260688489629,0.527074536151631
"Moio.de.Calvi",-0.581288783824643,0.544877350275602
"Monistrol.de.Calders",-0.384783463469919,0.270378679783111
"Monterenzio",-0.964996105264175,0.491890365987917
"Moruzzo",-0.574442519228725,0.256822245718082
"Moura",-0.420172689796949,0.325635658972473
"Münster",-0.998061699686108,0.687749094493355
"Northampton",-0.830144517295562,0.661683223838031
"Offida",-0.936241986694611,0.505022388230504
"Ornica",-0.621498082539571,0.537173569881183
"Ossana",-1.11084156480416,1.05586164174916
"Pantelleria",-1.39029546754533,1.26812765421523
"Pellizzano",-1.08675899721507,0.779957953269851
"Philadelphia",-0.432419681560013,0.954414126206461
"Piazzatorre",-0.682031930904098,0.765211501794931
"Piazzolo",-0.672679106860432,0.621347218799844
"Pollina",-0.286790370652378,0.122050702290425
"Pontecchio.Polesine",-1.02239758478431,0.400368138282372
"Porsgrunn",-0.493906686367275,0.428020315559744
"Region.Zuid.West.Vlaanderen",-0.815120307299748,0.833795602530594
"Riga",-0.613421137710051,1.30031354073004
"Roncobello",-0.711120398516376,0.749389383906071
"Saint.Nicolas",-0.963887347148698,1.11960922189022
"Samsø",-0.824619989537162,0.478880155941174
"San.Isidro",-1.05020236502014,1.46151869536827
"Santa.Brigida",-0.472662836989538,0.539411919662594
"Santa.Maria.Nuova",-1.0651611409084,0.542318702841666
"Senigallia",-0.500916020059469,0.74523795674264
"Skive",-1.11363683048549,0.67533913468592
"Somma.Lombardo",-0.779817879197441,0.696586816343275
"Somoniyon",-0.851542416765412,0.14912856856577
"St..Catharines",-1.07793010652585,0.874736431470723
"Taleggio",-0.592504137906922,0.559640228746011
"Teulada",-1.03684342856035,1.35661470375482
"Tibi",-1.04462355985345,1.40488902861008
"Tirana",-0.875860394095408,0.701356837005281
"Tàrbena",-1.13467946731935,1.27599083896905
"Unione.dei.Comuni.NET..Nord.Est.Torino.",-0.723020327778518,0.540079876687537
"Urbino",-0.571622681260175,0.403647304666784
"Utrecht",-0.771278118093968,0.268702040464632
"Valtorta",-0.606127978839172,0.60736046750273
"Vantaa",-0.398594102158608,0.19752015470308
"Vedeseta",-0.559220553144374,0.464324769391259
"Vilkaviškis",-0.371138540736491,0.324861356754769
"Växjö",-0.674348456602578,0.794273720813335
"Wallonie.picarde.Energie.Positive",-0.669796482321795,1.34296148470589
